Ticket ID,Subject,Description,Category,Subcategory,Department,Assigned Resolver,Assigned Team,Status,Resolution Notes,Created,Resolved,Reassigned
MU-102597,Kindly assist,It is giving an error and it stopped booting after the power went off at the library since last week. i have already restarted the machine. kindly look into it. Kindly assist.,Hardware & Equipment,Desktop / laptop,Registrar (Academic),ICT-HWM-02,Hardware & Maintenance Team,Closed,"Diagnosed a failed power supply unit following a power surge, replaced the PSU and confirmed the system booted normally into the operating system.",2025-07-20 10:17,2025-07-26 04:04,No
MU-102061,No network on desktop,"Good afternoon, It is givig an error and the cable shows unplugged.  i have a class shortly.  Kindly assist.",Network & Connectivity,LAN,School of Information Sciences,ICT-NET-02,Network Team,Closed,"Traced the wall port to the patch panel, re-terminated the faulty jack and re-patched to an active switch port. Link confirmed at 1Gbps.",2024-04-19 10:48,2024-04-22 02:18,Yes
MU-103919,Projector faint,It does not appear anywhere sinec the semester started.  the deadline is today.  kindly assist.  Awaiting your response.,Hardware & Equipment,Projector,School of Business and Economics,ICT-HWM-03,Hardware & Maintenance Team,Closed,Replaced the faulty HDMI cable and cleaned the projector optics; where the lamp was beyond service hours the lamp module was replaced. Confirmed clear display.,2024-12-16 10:16,2024-12-19 22:55,No
MU-101410,Password expired,Permission is denied when i try. your assistance will be appreciated.,Account & Access Management,Password reset,University Library,ICT-SYS-01,Systems & Accounts Team,Closed,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon.",2024-09-28 18:18,2024-09-28 21:09,No
MU-103348,Slow connection,It keeps hanging in my office since friday.,Network & Connectivity,Performance,School of Arts and Social Sciences,ICT-NET-03,Network Team,Closed,"Investigated bandwidth utilisation on the department switch, identified a broadcast storm from a faulty device, isolated the port and normalised throughput.",2024-02-02 09:44,2024-02-04 14:31,Yes
MU-102915,Support request,"Good morning, Performance is very poor. the internet cnnection is the problem. kindly assist.",Network & Connectivity,Performance,Human Resources,ICT-NET-02,Network Team,Closed,"Investigated bandwidth utilisation on the department switch, identified a broadcast storm from a faulty device, isolated the port and normalised throughput. Advised the user to report any recurrence.",2024-09-15 07:36,2024-09-16 13:59,No
MU-104149,Cannot see my course,It is giving an error in my office. i would appreciate your help. Kindly assist urgently.,Learning Management System,Course enrolment,Human Resources,ICT-HD-01,Help Desk (Tier 1),Closed,"Verified enrolment records against the student information system, re-ran the enrolment synchronisation for the affected unit and confirmed the course was visible to the user.",2024-10-12 13:25,2024-10-14 04:39,Yes
MU-100075,LMS login failing,I cant login in our department. this is affecting my work. Thank u.,Student Information System,Access,Registrar (Academic),ICT-ELN-01,eLearning Support Unit,Closed,Confirmed the account existed on the LMS but was not synchronised with the directory; re-synchronised the user record and verified successful login.,2024-02-19 12:41,2024-02-19 23:34,No
MU-104679,Problem with system,It is not working and it beeps and stops before loading winndows for a while now.  Regards.,Hardware & Equipment,Desktop / laptop,ICT Directorate,ICT-HWM-02,Hardware & Maintenance Team,Closed,"Diagnosed a failed power supply unit following a power surge, replaced the PSU and confirmed the system booted normally into the operating system.",2024-12-13 15:58,2024-12-15 00:22,No
MU-100596,Urgent assistance required,"Good morning, Login is not working since the power went off. i have tried several times. your assistance will be appreciated. Regards.",Account & Access Management,Password reset,School of Engineering,ICT-HD-03,Help Desk (Tier 1),Closed,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon.",2024-01-16 18:19,2024-01-16 22:37,No
MU-100564,Forgot password,"Dear ICT, It says my details are wrong since the power went off.  please help.",Account & Access Management,Password reset,School of Information Sciences,ICT-HD-02,Help Desk (Tier 1),Closed,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon. Advised the user to report any recurrence.",2025-05-12 13:40,2025-05-12 19:28,Yes
MU-101385,LMS login failing,"Good morning, Access is denied in my office. this is on the elearning portal. Your assistance will be appreciated.",Learning Management System,Access,Finance Department,ICT-ELN-01,eLearning Support Unit,Closed,Confirmed the account existed on the LMS but was not synchronised with the directory; re-synchronised the user record and verified successful login. User confirmed the issue was resolved.,2025-07-30 13:41,2025-07-31 16:49,No
MU-104850,Cannot view results,"Good morning, It says access denied for the past two days.  please atttend to this as soon as possible.",Student Information System,Results / transcripts,School of Science,ICT-MIS-01,MIS / SIS Support Team,Closed,"Traced the unresolved marks to an unapproved mark sheet, escalated to the school examinations office for approval and confirmed the results displayed after posting.",2024-01-21 14:04,2024-01-22 18:55,No
MU-104218,Laptop slow,"Good morning, It has stopped working. the machine takes very long to start up. Awaiting your response.",Hardware & Equipment,Performance,Registrar (Academic),ICT-HWM-03,Hardware & Maintenance Team,Closed,"Performed malware removal and disk cleanup, upgraded the machine from a mechanical disk to an SSD and increased RAM. Boot and application load times improved substantially. User confirmed the issue was resolved.",2024-12-21 09:01,2024-12-25 06:24,No
MU-102967,Network point not working,"Greetings, Nothing is happening and the network point on the wall is dead in the staff room sicne this morning.  it was working fine last week.  thanx.",Network & Connectivity,LAN,School of Science,ICT-NET-01,Network Team,Closed,"Traced the wall port to the patch panel, re-terminated the faulty jack and re-patched to an active switch port. Link confirmed at 1Gbps.",2024-05-24 16:23,2024-05-25 05:56,No
MU-104803,Online exam issue,"Good afternoon, I cannot open it. this is affecting my work. kindly look into it.",Learning Management System,Assessment,Estates and Works,ICT-ELN-01,eLearning Support Unit,Closed,"Corrected the assessment availability window and group restrictions on the activity, extended the deadline as authorised by the lecturer and confirmed submissions were accepted.",2024-01-22 14:18,2024-01-23 05:36,No
MU-104084,Support request,It says my deails are wrong. kindly treat as urgent.,Account & Access Management,Password reset,Finance Department,ICT-SYS-01,Systems & Accounts Team,Open,,2024-05-12 14:32,,No
MU-100956,Payment not reflecting,It is missing. i have attached the bank slip for a while now. please help. Thnaks in advance.,Student Information System,Fee statement,School of Science,ICT-MIS-03,MIS / SIS Support Team,Closed,"Reconciled the bank transaction reference against the finance ledger, posted the missing receipt to the student account and confirmed the updated statement in the portal. User confirmed the issue was resolved.",2025-12-16 16:39,2025-12-18 05:08,No
MU-103065,Assistance required,I cannot open it in our block from today morning. Your assistance will be appreciated.,Account & Access Management,Permissions,Human Resources,ICT-SYS-02,Systems & Accounts Team,Closed,"Added the user to the correct departmental security group after confirming approval from the head of department, and verified access to the shared resource.",2024-08-02 08:47,2024-08-02 11:17,No
MU-104450,Computer not starting,"Hello, Nothing happens at all and the screen stays black on startup. kindly treat as urgent. Thank u.",Hardware & Equipment,Desktop / laptop,ICT Directorate,ICT-HD-03,Help Desk (Tier 1),Closed,"Diagnosed a failed power supply unit following a power surge, replaced the PSU and confirmed the system booted normally into the operating system.",2024-01-25 08:28,2024-02-01 03:01,No
MU-104629,Kindly assist,It is giving an error.  browsing is very slow.  please help.,Network & Connectivity,Performance,School of Arts and Social Sciences,ICT-NET-01,Network Team,Closed,"Investigated bandwidth utilisation on the department switch, identified a broadcast storm from a faulty device, isolated the port and normalised throughput.",2025-05-26 07:19,2025-05-27 06:58,Yes
MU-100733,Assignment submission problem,It is not working from today morning. kindly assist urgently. Kindly assist urgently.,Learning Management System,Assessment,School of Science,ICT-HD-02,Help Desk (Tier 1),Closed,"Corrected the assessment availability window and group restrictions on the activity, extended the deadline as authorised by the lecturer and confirmed submissions were accepted.",2025-03-04 17:17,2025-03-05 08:11,No
MU-102457,File will not upload,It has stopped working in the staff room for a while now. knidly assist.,Learning Management System,Content upload,University Library,ICT-ELN-01,eLearning Support Unit,Closed,Increased the per-file upload limit for the course area and advised the user on compressing large media before upload. Confirmed successful upload.,2025-08-25 13:20,2025-08-26 05:31,No
MU-104432,Assistance required,It is down and the printouts are faint and sreaky since the power went off. please help. Awaiting your response.,Hardware & Equipment,Printer,Finance Department,ICT-HWM-03,Hardware & Maintenance Team,Closed,"Cleared the paper path obstruction, replaced the worn pickup roller and ran a cleaning cycle. Confirmed clean output on a test print.",2024-06-07 11:15,2024-06-11 03:57,No
MU-103965,Email not going out,"Dear ICT, It fails whenever i press send and this is on outlook at the main campus. kindly look into it. Kindly assist.",Email & Collaboration,Mail delivery,School of Law,ICT-HD-02,Help Desk (Tier 1),Closed,"Identified an incorrect SMTP configuration on the client, corrected the outgoing server settings and authentication method, and confirmed successful test delivery.",2024-11-13 11:11,2024-11-14 04:40,No
MU-101793,Password reset,Permission is denied when i try at the library since this morning.  Your assstance will be appreciated.,Account & Access Management,Password reset,School of Law,ICT-SYS-02,Systems & Accounts Team,Closed,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon.",2024-09-16 16:48,2024-09-16 21:36,No
MU-101946,Printer not installed,"Good morning, It keeps failing. this is affetcing my work.",Application Support,Print services,School of Law,ICT-APP-02,Applications Support Team,Closed,"Removed the stale printer object, reinstalled the correct driver and mapped the user to the departmental print queue. Verified with a test page. Advised the user to report any recurrence.",2024-10-16 08:44,2024-10-17 04:33,Yes
MU-100851,Help needde,It has stopped working and the paper keeps jamming inside the printer in the comp lab since this morning. this is affecting my work. Kindly assist urgently.,Hardware & Equipment,Printer,School of Science,ICT-HWM-02,Hardware & Maintenance Team,Closed,"Cleared the paper path obstruction, replaced the worn pickup roller and ran a cleaning cycle. Confirmed clean output on a test print.",2024-10-15 10:15,2024-10-19 03:39,No
MU-102732,Kindly reset my password,Access is denied. this is for my staff domain account since this morning.,Account & Access Management,Password reset,Human Resources,ICT-SYS-04,Systems & Accounts Team,Closed,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon.",2024-12-14 10:41,2024-12-14 13:19,No
MU-103792,Cannot login,I am locked out and the password i changed is not being accepted since the power went off. it was working fine last week. i would appreciate your help.,Account & Access Management,Password reset,Human Resources,ICT-SYS-02,Systems & Accounts Team,Closed,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon.",2025-10-07 16:08,2025-10-07 20:35,No
MU-103291,Request for support,Nothing is happening and this is on the wireless network in the administration block. Kindly assist.,Network & Connectivity,Wi-Fi,Estates and Works,ICT-NET-01,Network Team,Closed,Reset the wireless access point serving the block and re-authenticated the user device on MU-WiFi. Confirmed connectivity restored.,2025-08-20 12:18,2025-08-21 00:26,No
MU-102219,no wifi connection,"Hi, I am unable to get in in the computer lab. i have already restarted the machine. Kindly assist urgently.",Network & Connectivity,Wi-Fi,Registrar (Academic),ICT-NET-03,Network Team,Closed,Reset the wireless access point serving the block and re-authenticated the user device on MU-WiFi. Confirmed connectivity restored.,2024-01-26 17:26,2024-01-27 01:04,No
MU-103873,Wall port problem,It has stopped working since yesterday. kidnly assist urgently. Kindly assist urgently.,Network & Connectivity,LAN,Registrar (Academic),ICT-NET-03,Network Team,Closed,"Traced the wall port to the patch panel, re-terminated the faulty jack and re-patched to an active switch port. Link confirmed at 1Gbps.",2024-02-08 16:46,2024-02-09 18:10,Yes
MU-101593,Kindly reset my password,I am unable to sign in and i need my password reset since the semester started.,Account & Access Management,Password reset,Finance Department,ICT-SYS-01,Systems & Accounts Team,Closed,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon.",2024-02-25 15:45,2024-02-25 18:37,No
MU-102565,Help needed,It takes forever to load.,Student Information System,Performance,School of Education,ICT-NET-03,Network Team,Closed,"Identified database contention during peak registration, applied index tuning and temporarily scaled the application resources. Response times returned to normal.",2024-01-09 15:48,2024-01-10 12:05,No
MU-102390,ICT issue,It has stopped working in lecture hall three. the desktop does not poower on when i press the button.,Hardware & Equipment,Desktop / laptop,School of Medicine,ICT-HWM-03,Hardware & Maintenance Team,Closed,"Diagnosed a failed power supply unit following a power surge, replaced the PSU and confirmed the system booted normally into the operating system.",2025-01-05 12:30,2025-01-11 06:49,Yes
MU-104139,Email quota exceeded,It does not appear anywhere. my mailbox has exceeded its storage limit. Kindly assist urgently.,Email & Collaboration,Mailbox quota,ICT Directorate,ICT-SYS-01,Systems & Accounts Team,Closed,"Advised the user on archiving, purged deleted items and increased the mailbox quota in line with the ICT storage policy. Confirmed mail flow resumed.",2024-03-19 17:49,2024-03-20 05:24,No
MU-104613,results not showing,Access is denied in the computer lab. the transcript is missing marks from last semester.,Student Information System,Results / transcripts,School of Education,ICT-MIS-02,MIS / SIS Support Team,Closed,"Traced the unresolved marks to an unapproved mark sheet, escalated to the school examinations office for approval and confirmed the results displayed after posting.",2025-12-06 17:36,2025-12-07 13:13,No
MU-103439,Computer very slow,"Dear ICT, It is giving an error and i have to resttart the computer several times a day. this is affecting my work. Your assistance will be appreciated.",Hardware & Equipment,Performance,Human Resources,ICT-APP-01,Applications Support Team,Closed,"Performed malware removal and disk cleanup, upgraded the machine from a mechanical disk to an SSD and increased RAM. Boot and application load times improved substantially.",2024-07-17 10:17,2024-07-24 10:08,Yes
MU-101857,Email quota exceeded,"Hello, It has refused to work. my mailbox has exceeded its storage limit since yesterday. please help. Kindly assist.",Email & Collaboration,Mailbox quota,ICT Directorate,ICT-SYS-02,Systems & Accounts Team,Closed,"Advised the user on archiving, purged deleted items and increased the mailbox quota in line with the ICT storage policy. Confirmed mail flow resumed. Advised the user to report any recurrence.",2025-04-06 18:23,2025-04-06 19:35,No
MU-100003,Mail delivery failure,Notthing is happening. this is on outlook since yesterday. Regards.,Email & Collaboration,Mail delivery,Finance Department,ICT-SYS-02,Systems & Accounts Team,Closed,"Identified an incorrect SMTP configuration on the client, corrected the outgoing server settings and authentication method, and confirmed successful test delivery.",2025-02-17 09:29,2025-02-17 15:01,No
MU-103901,Portal login issue,My login keeps failign in the staff room.,Learning Management System,Access,School of Science,ICT-ELN-01,eLearning Support Unit,Closed,Confirmed the account existed on the LMS but was not synchronised with the directory; re-synchronised the user record and verified successful login.,2024-08-28 17:12,2024-08-29 20:57,Yes
MU-102764,Upload error,It refuses to accept the file.  i am uploading lecture notes to the elearning portal since friday.  Thank you.,Learning Management System,Content upload,School of Business and Economics,ICT-ELN-01,eLearning Support Unit,Closed,Increased the per-file upload limit for the course area and advised the user on compressing large media before upload. Confirmed successful upload.,2024-12-03 17:09,2024-12-04 18:59,No
MU-101910,Cannot register units,"Dear ICT, It refuses to let me in since yesterday. kindly treat as urgent. Awaiting your response.",Student Information System,Unit registration,School of Engineering,ICT-MIS-02,MIS / SIS Support Team,Closed,"Confirmed fee-balance and academic-status flags blocking registration, cleared the eligibility block after finance confirmation and verified the student completed unit registration.",2024-08-29 09:04,2024-08-30 22:08,No
MU-100980,Locked out,"Greetings, I am unable to get in in the computer lab since this morning. your assistance will be appreciated.",Account & Access Management,Account lockout,Registrar (Academic),ICT-SYS-03,Systems & Accounts Team,Closed,"Confirmed the lockout source, cleared the lockout in Active Directory, unlocked the account and advised the user on clearing cached credentials on secondary devices.",2024-03-20 10:50,2024-03-20 14:02,No
MU-102729,Kindly reset my password,"Dear Sir/Madam, I am unable to log in in our block sine friday.  this is affecting my work.  Regards.",Account & Access Management,Password reset,School of Medicine,ICT-SYS-02,Systems & Accounts Team,Closed,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon. Advised the user to report any recurrence.",2024-12-03 12:15,2024-12-03 14:11,No
MU-100334,Access rights needed,"Hello, Nothing is happening and this is the departmental shared folder on the server for the past two days.  your assistance will be appreciated.  Awaiting your response.",Account & Access Management,Permissions,University Library,,,Closed,"Added the user to the correct departmental security group after confirming approval from the head of department, and verified access to the shared resource.",2024-10-26 14:10,2024-10-26 17:58,No
MU-102708,Product not licensed,It is not working. i have tried several times. kindly look into it.,Application Support,Licensing,School of Science,ICT-APP-01,Applications Support Team,Closed,Re-registered the endpoint against the institutional licence server and reapplied a valid activation key. Confirmed the product reported an activated state.,2024-02-14 07:24,2024-02-16 07:52,No
MU-100571,Licence expired,It keeps failing. office is asking for activation from today morning. Your assistance will be appreciated.,Application Support,Licensing,School of Business and Economics,ICT-APP-01,Applications Support Team,Closed,Re-registered the endpoint against the institutional licence server and reapplied a valid activation key. Confirmed the product reported an activated state.,2024-04-12 15:53,2024-04-13 06:54,No
MU-101840,Slow connection,"Dear ICT, It has stopped wokring in the administration block. it is worse in the afternoon when everyone is online. Kindly assist.",,Performance,Registrar (Academic),ICT-NET-01,Network Team,Closed,"Investigated bandwidth utilisation on the department switch, identified a broadcast storm from a faulty device, isolated the port and normalised throughput.",2024-10-06 17:58,2024-10-08 12:50,No
MU-102323,Urgent assistance required,It has refusd to work. kindly assist.,Hardware & Equipment,Printer,Estates and Works,ICT-APP-02,Applications Support Team,Closed,"Cleared the paper path obstruction, replaced the worn pickup roller and ran a cleaning cycle. Confirmed clean output on a test print.",2025-10-01 17:02,2025-10-06 04:29,No
MU-104214,CANNOT UPLOAD NOTES,"Hello, It hangs part way through and the assignment file will not go up to the course page. please help.",Learning Management System,Content upload,School of Engineering,ICT-ELN-01,eLearning Support Unit,Closed,Increased the per-file upload limit for the course area and advised the user on compressing large media before upload. Confirmed successful upload. User confirmed the issue was resolved.,2025-11-08 13:00,2025-11-08 23:54,No
MU-102925,Cannot view results,It has stopped working in the adimnistration block. please attend to this as soon as possible. Regards.,Student Information System,Results / transcripts,Finance Department,ICT-MIS-01,MIS / SIS Support Team,Closed,"Traced the unresolved marks to an unapproved mark sheet, escalated to the school examinations office for approval and confirmed the results displayed after posting. Ticket closed.",2025-07-03 13:35,2025-07-04 13:47,No
MU-104846,Account locked,Acecss is denied and my account has been locked after several attempts.,Account & Access Management,Account lockout,School of Business and Economics,ICT-HD-03,Help Desk (Tier 1),Closed,"Confirmed the lockout source, cleared the lockout in Active Directory, unlocked the account and advised the user on clearing cached credentials on secondary devices.",2024-06-01 12:44,2024-06-01 15:11,No
MU-104175,Projector faint,It does not appear anywhere and i have changed the cable but the projector still shows nothing.  i would appreciate your help.,Hardware & Equipment,Projector,School of Business and Economics,ICT-HWM-02,Hardware & Maintenance Team,Resolved,Replaced the faulty HDMI cable and cleaned the projector optics; where the lamp was beyond service hours the lamp module was replaced. Confirmed clear display. Advised the user to report any recurrence.,2024-12-29 17:43,2024-12-31 12:47,No
MU-100329,Cannot register units,It is not functioning and it says my registration is not allowed. i have alredy restarted the machine. please attend to this as soon as possible.,Student Information System,Unit registration,University Library,ICT-MIS-03,MIS / SIS Support Team,Closed,"Confirmed fee-balance and academic-status flags blocking registration, cleared the eligibility block after finance confirmation and verified the student completed unit registration.",2025-01-21 10:34,2025-01-21 19:02,Yes
MU-102147,Account locked,I am unable to get in and my account has been locked after several attempts in my office since yesterday.  Your assistance will be appreciated.,Account & Access Management,Account lockout,School of Business and Economics,,,Closed,"Confirmed the lockout source, cleared the lockout in Active Directory, unlocked the account and advised the user on clearing cached credentials on secondary devices.",2024-02-07 15:01,2024-02-07 18:58,No
MU-102997,Online meeting issue,I have no access and this is for an online meetng in our block. please attend to this as soon as possible.,Email & Collaboration,Online meetings,School of Education,ICT-ELN-01,eLearning Support Unit,Closed,"Reinstalled the conferencing client, granted the required microphone and camera permissions and validated a test meeting session with the user. Advised the user to report any recurrence.",2025-05-08 14:54,2025-05-08 20:52,No
MU-103437,Zoom not working,It is down since the semseter started. kindly look into it.,Email & Collaboration,Online meetings,School of Engineering,ICT-ELN-02,eLearning Support Unit,Closed,"Reinstalled the conferencing client, granted the required microphone and camera permissions and validated a test meeting session with the user.",2024-08-15 09:23,2024-08-15 15:11,No
MU-101460,Laptop slow,Nothing is happeening in our block. please help. thanx.,Hardware & Equipment,Performance,Finance Department,ICT-HWM-03,Hardware & Maintenance Team,Closed,"Performed malware removal and disk cleanup, upgraded the machine from a mechanical disk to an SSD and increased RAM. Boot and application load times improved substantially.",2025-10-13 17:13,2025-10-14 02:43,No
MU-101211,cannot login,I canont open it and my password has expired and needs resetting for the past two days. Regards.,Account & Access Management,Password reset,School of Business and Economics,ICT-HD-02,Help Desk (Tier 1),Closed,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon.",2024-07-12 11:08,2024-07-12 13:02,No
MU-103319,Help needed,It says access denied in my office. my colleauge is not having the same problem. Thanks in advance.,Student Information System,Results / transcripts,School of Arts and Social Sciences,ICT-MIS-03,MIS / SIS Support Team,Closed,"Traced the unresolved marks to an unapproved mark sheet, escalated to the school examinations office for approval and confirmed the results displayed after posting.",2025-03-29 10:37,2025-04-01 10:06,No
MU-104864,Balance still showing,"Hello, It has stopped working in our departmeent for a while now. this is affecting my work. please attend to this as soon as possible. Kindly assist.",Student Information System,Fee statement,School of Information Sciences,ICT-MIS-03,MIS / SIS Support Team,Closed,"Reconciled the bank transaction reference against the finance ledger, posted the missing receipt to the student account and confirmed the updated statement in the portal.",2024-09-16 10:39,2024-09-18 00:19,No
MU-101684,Laptop slow,"Greetings, It is not working. i have to restart the comp several times a day for the past two days. pleaase help. Thank you.",Hardware & Equipment,Performance,ICT Directorate,ICT-HWM-02,Hardware & Maintenance Team,Closed,"Performed malware removal and disk cleanup, upgraded the machine from a mechanical disk to an SSD and increased RAM. Boot and application load times improved substantially.",2024-12-15 13:49,2024-12-21 13:01,No
MU-102312,Upload error,"Dear ICT, It is not functioning. the assignment file will not go up to the course page. i have tried several times. kindly treat as urgent. Kindly assst urgently.",Learning Management System,Content upload,School of Engineering,ICT-ELN-01,eLearning Support Unit,Closed,Increased the per-file upload limit for the course area and advised the user on compressing large media before upload. Confirmed successful upload.,2024-11-24 07:55,2024-11-25 03:29,No
MU-101498,xxx,ignore this,Learning Management System,Course enrolment,School of Engineering,ICT-ELN-01,eLearning Support Unit,Closed,"Verified enrolment records against the student information system, re-ran the enrolment synchronisation for the affected unit and confirmed the course was visible to the user.",2024-04-25 16:48,2024-04-26 14:23,No
MU-104226,ICT issue,I cannot access the system in our department for a while now.,Learning Management System,Assessment,School of Business and Economics,ICT-ELN-02,eLearning Support Unit,Closed,"Corrected the assessment availability window and group restrictions on the activity, extended the deadline as authorised by the lecturer and confirmed submissions were accepted.",2025-05-20 14:09,2025-05-20 15:57,No
MU-101080,cannot login,"Dear Sir/Madam, I am unable to get in since the powre went off. kindly assist.",Account & Access Management,Password reset,School of Education,ICT-SYS-03,Systems & Accounts Team,Closed,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon. Ticket closed.",2024-08-19 07:33,2024-08-19 09:49,No
MU-104077,Assistance reqired,"Greetings, The connection keeps dropping and my laptop will not join mu-wifi since yesterday. your assistance will be appreciated.",Network & Connectivity,Wi-Fi,School of Medicine,ICT-NET-02,Network Team,In Progress,,2024-08-30 07:43,,No
MU-103584,ICT issue,Nothing is happening.  printing stopped after my system was updated since last week.  kindly assist urgently.  Kindly assist urgently.,Application Support,Print services,Procurement,ICT-HWM-03,Hardware & Maintenance Team,Closed,"Removed the stale printer object, reinstalled the correct driver and mapped the user to the departmental print queue. Verified with a test page.",2024-04-24 13:21,2024-04-27 01:11,No
MU-102072,Cannot connect to wifi,"Dear ICT, I have no access in the computer lab. the wireless access point seems to be off for the past two days.",Network & Connectivity,Wi-Fi,School of Medicine,ICT-NET-03,Network Team,Closed,Reset the wireless access point serving the block and re-authenticated the user device on MU-WiFi. Confirmed connectivity restored.,2025-01-05 15:17,2025-01-07 10:03,No
MU-103192,Issue afefcting my work,I am locked out and my email password works but elearning does not accept it.  it was working fine last week.  kindly assist.,Learning Management System,Access,School of Science,ICT-ELN-01,eLearning Support Unit,Closed,Confirmed the account existed on the LMS but was not synchronised with the directory; re-synchronised the user record and verified successful login.,2024-12-31 09:17,2025-01-01 03:00,Yes
MU-103549,Problem with system,"Greetings, Nothing is happening in the comp lab. the licecne key provided is not being accepted. Thanks in advance.",Email & Collaboration,Licensing,School of Education,ICT-APP-02,Applications Support Team,Closed,,2025-02-14 12:34,2025-02-16 12:40,No
MU-104549,Assistance required,"Hi, Nothing is happening and the screen stays black on startup in the staff room since yesterday.  Your assistance will be appreciated.",Hardware & Equipment,Desktop / laptop,Registrar (Academic),ICT-HWM-02,Hardware & Maintenance Team,Closed,"Diagnosed a failed power supply unit following a power surge, replaced the PSU and confirmed the system booted normally into the operating system.",2025-03-09 13:09,2025-03-10 04:42,Yes
MU-104438,KINDLY ASSIST,It is down in lecture hall three since yesterday. this is affecitng my work.,Hardware & Equipment,Desktop / laptop,Finance Department,ICT-HD-01,Help Desk (Tier 1),Closed,"Diagnosed a failed power supply unit following a power surge, replaced the PSU and confirmed the system booted normally into the operating system. Ticket closed.",2025-04-18 07:00,2025-04-21 01:01,No
MU-103169,Cannot login to eLearning,"Hello, I am unable to get in for a while now. please help.",Learning Management System,Access,School of Education,ICT-ELN-02,eLearning Support Unit,Closed,Confirmed the account existed on the LMS but was not synchronised with the directory; re-synchronised the user record and verified successful login.,2024-08-07 16:04,2024-08-07 19:57,No
MU-101940,Online exam issue,"Greetings, It does not appear anywhere and the quiz will not open for the class and the deadline is today in the administration block. my colleague is not having the same problem. Kindly assisst urgently.",Learning Management System,Assessment,School of Business and Economics,ICT-HD-01,Help Desk (Tier 1),Closed,"Corrected the assessment availability window and group restrictions on the activity, extended the deadline as authorised by the lecturer and confirmed submissions were accepted. User confirmed the issue was resolved.",2025-11-16 09:17,2025-11-17 14:40,No
MU-104191,Printing not working,"Good morning, It says access denied in the cmputer lab.  the printer is not installed on my laptop from today morning.  it was working fine last week.",Application Support,Print services,School of Engineering,ICT-HWM-03,Hardware & Maintenance Team,Closed,"Removed the stale printer object, reinstalled the correct driver and mapped the user to the departmental print queue. Verified with a test page. Advised the user to report any recurrence.",2024-03-04 13:08,2024-03-07 15:23,No
MU-102812,Kindly reset my password,Access is denied in our department for the past two days. Kindly assist urgently.,Account & Access Management,Password reset,Estates and Works,ICT-SYS-01,Systems & Accounts Team,Closed,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon.",2025-07-10 08:51,2025-07-10 09:51,No
MU-102045,Forggot password,Permission is denied when i try from today morning. Kindly assist urgently.,Account & Access Management,Password reset,Finance Department,ICT-SYS-03,Systems & Accounts Team,Closed,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon.",2024-05-01 10:27,2024-05-01 11:41,No
MU-103259,Kindly assist,Permissiion is denied when i try since yesterday. kindly look into it. Your assistance will be appreciated.,Network & Connectivity,Wi-Fi,School of Medicine,ICT-NET-02,Network Team,Resolved,Reset the wireless access point serving the block and re-authenticated the user device on MU-WiFi. Confirmed connectivity restored.,2024-07-12 14:18,2024-07-14 01:20,No
MU-102435,LAN port dead,Nothing is happening. the cable shows unplugged since the power went off. Awaiting your response.,Network & Connectivity,LAN,School of Science,ICT-NET-03,Network Team,Closed,"Traced the wall port to the patch panel, re-terminated the faulty jack and re-patched to an active switch port. Link confirmed at 1Gbps.",2025-09-16 14:45,2025-09-18 13:16,No
MU-103602,Email quota exceeded,It is not appearing and i need my mailbox quota increased. kindly look into it.,Email & Collaboration,Mailbox quota,School of Science,ICT-SYS-03,Systems & Accounts Team,Open,,2025-05-25 08:13,,No
MU-102887,Upload failing,It is not working. i have already restarted the machine. please help. Kindlly assist.,Learning Management System,Content upload,University Library,ICT-ELN-01,eLearning Support Unit,Closed,Increased the per-file upload limit for the course area and advised the user on compressing large media before upload. Confirmed successful upload.,2025-12-05 08:04,2025-12-06 02:18,No
MU-104867,SYSTEM SLOW AT REGISTRATION,It keeps failing.  many students are complaining about the portal.  this is affecting my work.,Student Information System,Performance,Registrar (Academic),ICT-NET-02,Network Team,Resolved,"Identified database contention during peak registration, applied index tuning and temporarily scaled the application resources. Response times returned to normal.",2025-07-22 14:57,2025-07-23 12:36,No
MU-103286,Cannot login to eLearning,The system is not accepting my login and this is on the elearning portal in our block for a while now.,Learning Management System,Access,University Library,ICT-ELN-02,eLearning Support Unit,Closed,Confirmed the account existed on the LMS but was not synchronised with the directory; re-synchronised the user record and verified successful login.,2025-10-22 16:42,2025-10-23 12:37,No
